step,proxy_reward,true_reward,policy_entropy,distinct_completions,kl_to_ref,kl_loss_fraction,grad_norm,half_batch_grad_cosine,half_batch_grad_cosine_centered,max_abs_advantage,group_pass_rate,frac_degenerate_groups,tokens
0,0.1796875,0.421875,0.5535234899328859,106,0.0,0.0,4.634716033935547,-0.12786312401294708,,2.6457513110645907,0.421875,0.25,1490
1,0.171875,0.546875,0.43218408262454433,107,0.0360107421875,0.0004950111586434488,5.856607913970947,0.9176123738288879,,2.6457513110645907,0.546875,0.1875,1646
2,0.171875,0.515625,0.3720332278481013,97,0.064208984375,0.0011208004981950181,5.636668682098389,0.8847104907035828,,2.6457513110645907,0.515625,0.3125,1896
3,0.140625,0.375,0.5400890868596881,93,0.09893798828125,0.002135849629228791,3.08742618560791,-0.19356106221675873,,2.6457513110645907,0.375,0.5,1347
4,0.25,0.484375,0.5518333333333333,111,0.34423828125,0.004161092844205442,6.937422275543213,0.931242823600769,,2.6457513110645907,0.484375,0.1875,1500
5,0.3359375,0.3828125,0.5574564873417721,101,0.6025390625,0.008074754751173892,6.633932590484619,0.913604199886322,,1.7320508075688774,0.3828125,0.3125,1264
6,0.328125,0.40625,0.4460881652104845,86,0.64202880859375,0.009666275496292308,9.249872207641602,0.9083818793296814,,2.6457513110645907,0.40625,0.1875,1259
7,0.5703125,0.5703125,0.46137521222410866,72,1.42822265625,0.0168569880536816,8.03034496307373,0.7521496415138245,,2.6457513110645907,0.5703125,0.0625,1178
8,0.6328125,0.65625,0.35331825037707393,64,1.8167724609375,0.030479820540903216,6.907729148864746,0.9276915788650513,,2.6457513110645907,0.65625,0.25,1326
9,0.8515625,0.34375,0.4033038720538721,76,2.73187255859375,0.03941653110872685,4.985666751861572,0.8160924911499023,,2.6457513110645907,0.34375,0.4375,1188
10,0.890625,0.5390625,0.2994746998284734,55,2.75311279296875,0.06446594124159866,2.941707134246826,0.6651167273521423,,2.6457513110645907,0.5390625,0.4375,1166
11,0.90625,0.4921875,0.29001588983050847,56,3.7818603515625,0.07842715562691288,2.038947820663452,0.43547630310058594,,2.6457513110645907,0.4921875,0.5,1180
12,0.9453125,0.28125,0.34330197132616486,78,3.8013916015625,0.07237057854738309,2.3745832443237305,0.003638054011389613,,2.6457513110645907,0.28125,0.625,1116
13,0.921875,0.3671875,0.32862544483985767,73,4.58477783203125,0.06842079699225702,3.560004949569702,0.6504120230674744,,2.6457513110645907,0.3671875,0.4375,1124
14,0.9765625,0.484375,0.27753178928247046,56,2.88214111328125,0.1593091162062908,0.7925063967704773,0.8042579889297485,,2.6457513110645907,0.484375,0.8125,1101
15,0.984375,0.4453125,0.274234693877551,64,2.48834228515625,0.18515239622537474,0.5716999173164368,0.0674838200211525,,2.6457513110645907,0.4453125,0.875,1127
16,0.9921875,0.515625,0.23179883512544802,58,4.9627685546875,0.6123184611083591,1.2799439430236816,-0.0014577158726751804,,2.6457513110645907,0.515625,0.9375,1116
17,0.9921875,0.4140625,0.2257940573770492,61,1.96014404296875,0.303512991168117,0.34753650426864624,0.04389241710305214,,2.6457513110645907,0.4140625,0.9375,1098
18,0.984375,0.546875,0.1972511574074074,52,2.87371826171875,0.23639408485028435,0.7580990791320801,0.19145166873931885,,2.6457513110645907,0.546875,0.875,1080
19,0.9921875,0.6640625,0.14136342155009451,43,3.7335205078125,0.4670492139088586,0.09935945272445679,0.01069706678390503,,2.6457513110645907,0.6640625,0.9375,1058
20,0.984375,0.484375,0.25464108910891087,66,3.1533203125,0.2154467568002109,0.729814350605011,-0.025006450712680817,,2.6457513110645907,0.484375,0.875,1111
21,0.984375,0.4140625,0.2432636404293381,60,2.4482421875,0.16654560062861698,1.2969329357147217,-0.3887612521648407,,2.6457513110645907,0.4140625,0.875,1118
