step,proxy_reward,true_reward,policy_entropy,distinct_completions,kl_to_ref,kl_loss_fraction,grad_norm,half_batch_grad_cosine,half_batch_grad_cosine_centered,max_abs_advantage,group_pass_rate,frac_degenerate_groups,tokens
0,0.515625,0.515625,0.47767564018384767,97,0.0,0.0,0.0,0.0,,0.0,0.515625,1.0,1523
1,0.4765625,0.4765625,0.4406632924880128,102,0.0,0.0,0.0,0.0,,0.0,0.4765625,1.0,1877
2,0.484375,0.484375,0.4959123610202747,103,0.0,0.0,0.0,0.0,,0.0,0.484375,1.0,1529
3,0.4375,0.4375,0.46739314789687925,98,0.0,0.0,0.0,0.0,,0.0,0.4375,1.0,1474
4,0.4765625,0.4765625,0.5126278772378516,101,0.0,0.0,0.0,0.0,,0.0,0.4765625,1.0,1564
5,0.546875,0.546875,0.46865037194473963,106,0.0,0.0,0.0,0.0,,0.0,0.546875,1.0,1882
6,0.6015625,0.6015625,0.43426724137931033,89,0.0,0.0,0.0,0.0,,0.0,0.6015625,1.0,1566
7,0.5234375,0.5234375,0.44495884773662553,89,0.0,0.0,0.0,0.0,,0.0,0.5234375,1.0,1458
8,0.6015625,0.6015625,0.46574790457769183,99,0.0,0.0,0.0,0.0,,0.0,0.6015625,1.0,1551
9,0.3671875,0.3671875,0.4739321608040201,100,0.0,0.0,0.0,0.0,,0.0,0.3671875,1.0,1592
10,0.5078125,0.5078125,0.5088071693448702,108,0.0,0.0,0.0,0.0,,0.0,0.5078125,1.0,1618
11,0.59375,0.59375,0.4077868852459016,102,0.0,0.0,0.0,0.0,,0.0,0.59375,1.0,1769
12,0.4140625,0.4140625,0.4691346850108617,92,0.0,0.0,0.0,0.0,,0.0,0.4140625,1.0,1381
13,0.5234375,0.5234375,0.4942147192716237,91,0.0,0.0,0.0,0.0,,0.0,0.5234375,1.0,1318
14,0.3359375,0.3359375,0.5517487508922199,101,0.0,0.0,0.0,0.0,,0.0,0.3359375,1.0,1401
15,0.3984375,0.3984375,0.5977675134719015,100,0.0,0.0,0.0,0.0,,0.0,0.3984375,1.0,1299
16,0.359375,0.359375,0.502058672156459,111,0.0,0.0,0.0,0.0,,0.0,0.359375,1.0,1942
17,0.4375,0.4375,0.5008142605633803,88,0.0,0.0,0.0,0.0,,0.0,0.4375,1.0,1420
18,0.5234375,0.5234375,0.4664961013645224,100,0.0,0.0,0.0,0.0,,0.0,0.5234375,1.0,1539
19,0.4453125,0.4453125,0.5504496402877698,95,0.0,0.0,0.0,0.0,,0.0,0.4453125,1.0,1390
20,0.453125,0.453125,0.4582777036048064,102,0.0,0.0,0.0,0.0,,0.0,0.453125,1.0,1498
21,0.59375,0.59375,0.3918210628961482,106,0.0,0.0,0.0,0.0,,0.0,0.59375,1.0,2051
22,0.640625,0.640625,0.4163592508513053,98,0.0,0.0,0.0,0.0,,0.0,0.640625,1.0,1762
23,0.4765625,0.4765625,0.5010006157635468,100,0.0,0.0,0.0,0.0,,0.0,0.4765625,1.0,1623
24,0.515625,0.515625,0.5510808270676691,96,0.0,0.0,0.0,0.0,,0.0,0.515625,1.0,1330
25,0.53125,0.53125,0.441010329244674,86,0.0,0.0,0.0,0.0,,0.0,0.53125,1.0,1549
26,0.46875,0.46875,0.5974775784753363,92,0.0,0.0,0.0,0.0,,0.0,0.46875,1.0,1115
27,0.4765625,0.4765625,0.5100989617131733,99,0.0,0.0,0.0,0.0,,0.0,0.4765625,1.0,1541
28,0.5859375,0.5859375,0.43286755771567437,101,0.0,0.0,0.0,0.0,,0.0,0.5859375,1.0,1646
29,0.484375,0.484375,0.5232472324723247,102,0.0,0.0,0.0,0.0,,0.0,0.484375,1.0,1355
30,0.390625,0.390625,0.473975188781014,110,0.0,0.0,0.0,0.0,,0.0,0.390625,1.0,1854
31,0.609375,0.609375,0.34475806451612906,89,0.0,0.0,0.0,0.0,,0.0,0.609375,1.0,1767
32,0.5,0.5,0.5146358066712049,98,0.0,0.0,0.0,0.0,,0.0,0.5,1.0,1469
33,0.484375,0.484375,0.4129194630872483,87,0.0,0.0,0.0,0.0,,0.0,0.484375,1.0,1490
34,0.5546875,0.5546875,0.41872133027522934,94,0.0,0.0,0.0,0.0,,0.0,0.5546875,1.0,1744
