step,proxy_reward,true_reward,policy_entropy,distinct_completions,kl_to_ref,kl_loss_fraction,grad_norm,half_batch_grad_cosine,half_batch_grad_cosine_centered,max_abs_advantage,group_pass_rate,frac_degenerate_groups,tokens
0,0.1796875,0.421875,0.5535234899328859,106,0.0,0.0,4.634716033935547,-0.12786312401294708,,2.6457513110645907,0.421875,0.25,1490
1,0.171875,0.546875,0.43218408262454433,107,0.0,0.0,5.934422492980957,0.9191493988037109,,2.6457513110645907,0.546875,0.1875,1646
2,0.15625,0.578125,0.3820640473627557,90,0.0,0.0,4.874600410461426,0.8231936693191528,,2.6457513110645907,0.578125,0.3125,1858
3,0.171875,0.4140625,0.5523870262390671,100,0.0,0.0,5.579860687255859,0.8009767532348633,,2.6457513110645907,0.4140625,0.1875,1372
4,0.2109375,0.4765625,0.5232539164490861,102,0.0,0.0,9.63743782043457,0.928005039691925,,2.6457513110645907,0.4765625,0.0625,1532
5,0.3828125,0.328125,0.5678084935897436,104,0.0,0.0,7.089779853820801,0.8714502453804016,,2.6457513110645907,0.328125,0.25,1248
6,0.359375,0.4296875,0.48271937086092714,83,0.0,0.0,7.321099281311035,0.915538489818573,,2.6457513110645907,0.4296875,0.1875,1208
7,0.6953125,0.5625,0.44902802893309224,75,0.0,0.0,8.138805389404297,0.902755856513977,,2.6457513110645907,0.5625,0.125,1106
8,0.75,0.5625,0.388112292051756,57,0.0,0.0,7.965976238250732,0.6189655065536499,,2.6457513110645907,0.5625,0.0625,1082
9,0.8515625,0.2265625,0.43283991228070173,80,0.0,0.0,6.139278888702393,0.8968544602394104,,2.6457513110645907,0.2265625,0.3125,1140
10,0.9140625,0.546875,0.3070677570093458,56,2.15606689453125,0.0,2.9906468391418457,0.43738242983818054,,2.6457513110645907,0.546875,0.4375,1070
11,0.953125,0.5,0.2719359331476323,49,0.0,0.0,3.0541107654571533,0.7537946105003357,,2.6457513110645907,0.5,0.6875,1077
12,0.9453125,0.25,0.34543463611859837,78,0.0,0.0,2.6876745223999023,0.11529631912708282,,2.6457513110645907,0.25,0.625,1113
13,0.984375,0.3828125,0.3355881037567084,69,0.0,0.0,1.3901513814926147,0.017457524314522743,,2.6457513110645907,0.3828125,0.875,1118
14,1.0,0.4765625,0.2859887295081967,62,0.0,0.0,0.0,0.0,,0.0,0.4765625,1.0,1098
15,0.984375,0.4453125,0.26923399731423453,61,0.0,0.0,0.8415112495422363,0.07644183188676834,,2.6457513110645907,0.4453125,0.875,1117
16,0.984375,0.484375,0.22939825317604357,56,0.0,0.0,1.6470237970352173,0.5585469603538513,,2.6457513110645907,0.484375,0.875,1102
17,0.9765625,0.3984375,0.241128663003663,60,0.0,0.0,1.6294498443603516,0.64725661277771,,2.6457513110645907,0.3984375,0.8125,1092
18,0.984375,0.5703125,0.2005713296398892,53,0.0,0.0,0.8607199788093567,-0.00842892937362194,,2.6457513110645907,0.5703125,0.875,1083
19,0.9921875,0.6484375,0.1416247037914692,39,0.0,0.0,0.8926275968551636,0.0,,2.6457513110645907,0.6484375,0.9375,1055
20,0.9921875,0.46875,0.251661036036036,62,3.31939697265625,0.0,0.8710072636604309,0.0,,2.6457513110645907,0.46875,0.9375,1110
21,0.9921875,0.4140625,0.23380733424159855,55,0.0,0.0,0.8278928399085999,0.0,,2.6457513110645907,0.4140625,0.9375,1101
22,0.9375,0.59375,0.2017051571920758,59,0.0,0.0,0.6050286293029785,0.0,,1.7320508075688774,0.59375,0.875,1161
23,0.984375,0.3828125,0.30664762544802865,73,0.0,0.0,1.0649760961532593,0.07478456944227219,,2.6457513110645907,0.3828125,0.875,1116
24,0.984375,0.3984375,0.2667011404293381,62,0.0,0.0,0.34898293018341064,0.0,,1.7320508075688774,0.3984375,0.9375,1118
25,0.984375,0.5,0.2210213208820882,54,0.0,0.0,0.4051259458065033,0.015626488253474236,,2.6457513110645907,0.5,0.875,1111
26,0.9921875,0.46875,0.23926739518287243,56,0.0,0.0,0.641704797744751,0.0,,2.6457513110645907,0.46875,0.9375,1121
27,0.9921875,0.46875,0.21081234487815884,55,0.0,0.0,0.2698679268360138,0.0,,2.6457513110645907,0.46875,0.9375,1108
28,1.0,0.4765625,0.20453139063906392,57,0.0,0.0,0.0,0.0,,0.0,0.4765625,1.0,1111
29,0.984375,0.4296875,0.20003342245989306,54,0.0,0.0,0.5067967772483826,0.0,,2.6457513110645907,0.4296875,0.875,1122
30,1.0,0.53125,0.16759715360753677,42,2.26788330078125,0.0,0.0,0.0,,0.0,0.53125,1.0,1088
31,0.9921875,0.625,0.1744262364498645,46,0.0,0.0,0.14650370180606842,0.0,,2.6457513110645907,0.625,0.9375,1107
32,1.0,0.46875,0.18462059620596205,53,0.0,0.0,0.0,0.0,,0.0,0.46875,1.0,1107
33,0.953125,0.40625,0.308686923379838,69,0.0,0.0,0.6392571330070496,0.02652791328728199,,2.6457513110645907,0.40625,0.8125,1111
34,0.984375,0.5234375,0.22996206726555654,60,0.0,0.0,0.6268900632858276,0.033871617168188095,,2.6457513110645907,0.5234375,0.875,1141
35,1.0,0.3046875,0.23844054742907803,61,0.0,0.0,0.0,0.0,,0.0,0.3046875,1.0,1128
36,0.9921875,0.5,0.197396778584392,61,0.0,0.0,0.3499971628189087,0.0,,2.6457513110645907,0.5,0.9375,1102
37,0.984375,0.3984375,0.22570681211041851,65,0.0,0.0,0.4592403471469879,0.0,,2.6457513110645907,0.3984375,0.875,1123
38,0.9375,0.328125,0.24708169843049327,54,0.0,0.0,0.3992154598236084,0.017385633662343025,,2.6457513110645907,0.328125,0.875,1115
