step,proxy_reward,true_reward,policy_entropy,distinct_completions,kl_to_ref,kl_loss_fraction,grad_norm,half_batch_grad_cosine,half_batch_grad_cosine_centered,max_abs_advantage,group_pass_rate,frac_degenerate_groups,tokens
0,0.416859375,0.40625,0.5801730486008837,103,0.0,0.0,6.478424549102783,0.015666740015149117,,2.6457013459085768,0.40625,0.0,1358
1,0.5677890624999999,0.5546875,0.4478980322003578,109,0.0350341796875,0.00024315116564559556,7.306609153747559,0.6227574348449707,,2.6457336513988294,0.5546875,0.0,1677
2,0.586078125,0.5703125,0.35164767096134786,96,0.0537109375,0.0005379926104497229,6.051798343658447,0.8180951476097107,,2.6457500155575207,0.5703125,0.0,2018
3,0.5144375,0.5,0.41105248917748916,103,0.0992431640625,0.000729395793782524,6.666793346405029,0.3887958824634552,,2.6451767324153863,0.5,0.0,1848
4,0.624671875,0.609375,0.3532303370786517,105,0.1781005859375,0.0014765827824694082,9.538227081298828,0.845008909702301,,2.6457491525038845,0.609375,0.0,1958
5,0.47386718749999995,0.4609375,0.3694864048338369,96,0.49310302734375,0.003870891026476204,3.6534900665283203,-0.35079577565193176,,2.645311423356709,0.4609375,0.0,1655
6,0.5697109375,0.5546875,0.31935777431097245,86,0.473876953125,0.0025845620927281696,5.122213363647461,0.6550304293632507,,2.6457513110645907,0.5546875,0.0,1923
7,0.6569609375,0.640625,0.2767366092778575,84,0.853271484375,0.004377275577123489,7.653528213500977,0.63601154088974,,2.6457513110645907,0.640625,0.0,2091
8,0.8031874999999999,0.78125,0.2615406873219373,102,1.47576904296875,0.01471735554326159,2.849006414413452,0.71456378698349,,2.6454768629252676,0.78125,0.0625,2808
9,0.49079687499999997,0.46875,0.25750797306874557,104,1.6575927734375,0.015599809860675929,0.603020966053009,-0.5853286981582642,,2.6457513110648425,0.46875,0.0,2822
10,0.772765625,0.75,0.2205301990391215,97,1.43426513671875,0.01445400365551785,2.7651500701904297,0.8720253109931946,,2.6457513110645907,0.75,0.0,2914
11,0.7354296874999999,0.7109375,0.22324561403508772,107,7.10552978515625,0.10102951544431678,13.43524169921875,-0.02678477205336094,,2.645621719790644,0.7109375,0.0,3135
12,0.6033359375,0.578125,0.25201425472575145,115,2.69610595703125,0.018752512352022865,0.7657837867736816,0.3343636393547058,,2.6456471065228016,0.578125,0.0,3227
13,0.579921875,0.5546875,0.24005417956656347,119,3.7459716796875,0.03625421155914267,1.1240873336791992,0.260152131319046,,2.64563158580471,0.5546875,0.0,3230
14,0.76134375,0.734375,0.20766946697566627,111,2.53961181640625,0.02339650237698812,1.2865568399429321,0.43488919734954834,,2.645627149339315,0.734375,0.0,3452
15,0.7304140625,0.703125,0.21263956484397367,116,3.0621337890625,0.024655695954310816,0.8061038851737976,0.4183991551399231,,2.6456410726283086,0.703125,0.0,3493
16,0.6995703125,0.671875,0.22866713681241185,111,2.6793212890625,0.02030289868233323,0.5874582529067993,0.213755801320076,,2.6456546859554706,0.671875,0.0625,3545
17,0.73225,0.703125,0.20693587335658706,107,2.97222900390625,0.029441511166031047,0.7183401584625244,0.36553338170051575,,2.6456295277533397,0.703125,0.0,3728
18,0.7256875,0.6953125,0.2180344738873167,114,3.33624267578125,0.023875149684365653,0.9359928369522095,0.6391515731811523,,2.6456755700096495,0.6953125,0.0,3888
19,0.8807734374999999,0.8515625,0.18113131853436748,105,3.53265380859375,0.02659451674285783,0.9491603374481201,0.258863240480423,,2.6456537788123056,0.8515625,0.0,3739
20,0.678359375,0.6484375,0.19621409921671018,110,4.4761962890625,0.03466570763720909,0.7055023312568665,0.4903217852115631,,2.645676392739583,0.6484375,0.0,3830
21,0.7337265625,0.703125,0.20308114314876244,116,3.93658447265625,0.028900106289248582,0.5201562643051147,-0.05356443300843239,,2.6457335501985324,0.703125,0.0,3917
22,0.65615625,0.625,0.18571339017051153,107,4.8638916015625,0.039097198075440806,0.7624134421348572,0.3389780819416046,,2.6457500232946174,0.625,0.0,3988
23,0.5870078125,0.5546875,0.21521896927171547,117,4.12860107421875,0.030361140906393615,0.49271225929260254,-0.16822484135627747,,2.6457341262724996,0.5546875,0.0,4137
24,0.5244375,0.4921875,0.18852955426356588,114,4.41265869140625,0.03464444066250677,0.3697400391101837,-0.17407773435115814,,2.6457430921371454,0.4921875,0.0,4128
