step,proxy_reward,true_reward,policy_entropy,distinct_completions,kl_to_ref,kl_loss_fraction,grad_norm,half_batch_grad_cosine,half_batch_grad_cosine_centered,max_abs_advantage,group_pass_rate,frac_degenerate_groups,tokens
0,0.4453125,0.4453125,0.5103067282321899,105,0.0,0.0,2.3879687786102295,-0.2968182861804962,,0.5546875,0.4453125,0.0,1516
1,0.4375,0.4375,0.5961987778576564,102,0.0,0.0,3.07051420211792,0.5794833302497864,,0.5625,0.4375,0.0,1391
2,0.4375,0.4375,0.5248155600268276,101,0.0,0.0,1.990851640701294,-0.09948763996362686,,0.5625,0.4375,0.0,1491
3,0.5078125,0.5078125,0.4553886925795053,91,0.0,0.0,3.018998622894287,0.7386178970336914,,0.5078125,0.5078125,0.0,1415
4,0.4375,0.4375,0.4339220462850183,104,0.0,0.0,2.1229734420776367,-0.11060634255409241,,0.5625,0.4375,0.0,1642
5,0.6328125,0.6328125,0.3469062784349409,100,0.0,0.0,2.9163155555725098,0.6411073207855225,,0.6328125,0.6328125,0.0,2198
6,0.4765625,0.4765625,0.376964709371293,96,0.0,0.0,5.229410171508789,0.8414964079856873,,0.5234375,0.4765625,0.0,1686
7,0.6484375,0.6484375,0.2729581260364842,106,0.0,0.0,1.7007218599319458,0.44259098172187805,,0.6484375,0.6484375,0.0,2412
8,0.6328125,0.6328125,0.2781300160513644,109,0.0,0.0,1.529524564743042,0.5312119126319885,,0.6328125,0.6328125,0.0,3116
9,0.640625,0.640625,0.26261783189316573,102,0.0,0.0,1.649387240409851,0.43164047598838806,,0.640625,0.640625,0.0,2546
10,0.5625,0.5625,0.21928174083769633,93,1.238037109375,0.0,0.23690800368785858,-0.0924801155924797,,0.5625,0.5625,0.0,3056
11,0.859375,0.859375,0.2022652388797364,102,0.0,0.0,1.448180079460144,0.5251683592796326,,0.859375,0.859375,0.0,3035
12,0.59375,0.59375,0.24740596627756162,108,0.0,0.0,0.3793772757053375,-0.0034568149130791426,,0.59375,0.59375,0.0,3084
13,0.5703125,0.5703125,0.22659317426759287,112,0.0,0.0,0.4964413344860077,0.12698520720005035,,0.5703125,0.5703125,0.0,3311
14,0.671875,0.671875,0.21198529411764705,106,0.0,0.0,0.3034173250198364,0.26882463693618774,,0.671875,0.671875,0.0,3400
15,0.640625,0.640625,0.20441091539127923,105,0.0,0.0,0.31284457445144653,-0.049135129898786545,,0.640625,0.640625,0.0,3463
16,0.734375,0.734375,0.20377872716558632,115,0.0,0.0,0.25867536664009094,0.2839067280292511,,0.734375,0.734375,0.0,3393
17,0.6875,0.6875,0.20994375540813384,115,0.0,0.0,0.23703156411647797,-0.036612752825021744,,0.6875,0.6875,0.0,3467
18,0.7578125,0.7578125,0.1867165242165242,108,0.0,0.0,0.22482900321483612,-0.48482850193977356,,0.7578125,0.7578125,0.0,3509
19,0.546875,0.546875,0.20285467128027682,115,0.0,0.0,0.24327518045902252,0.31674379110336304,,0.546875,0.546875,0.0,3468
20,0.640625,0.640625,0.21758994860079955,108,3.91265869140625,0.0,0.3069424033164978,0.2673478126525879,,0.640625,0.640625,0.0,3502
21,0.71875,0.71875,0.18690509518477044,106,0.0,0.0,0.24000482261180878,0.36689653992652893,,0.71875,0.71875,0.0,3572
22,0.59375,0.59375,0.21267480120647106,111,0.0,0.0,0.2556447982788086,-0.22391343116760254,,0.59375,0.59375,0.0,3647
23,0.5546875,0.5546875,0.21070527201346045,112,0.0,0.0,0.2271222472190857,0.09738350659608841,,0.5546875,0.5546875,0.0,3567
24,0.765625,0.765625,0.1833076059500421,112,0.0,0.0,0.22622089087963104,0.1290510892868042,,0.765625,0.765625,0.0,3563
25,0.6328125,0.6328125,0.21875876577840112,113,0.0,0.0,0.14799541234970093,-0.4174594283103943,,0.6328125,0.6328125,0.0,3565
26,0.84375,0.84375,0.1905513468013468,103,0.0,0.0,0.22246520221233368,-0.043128762394189835,,0.84375,0.84375,0.0,3565
